F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,Class
33,33.42424242424242,1103,0.0,0.034473979044957845,27.333333333333332,0.2973708068902992,0.13780598368087035,0.07252946509519492,0.0,97.55555555555556,0.7960108794197642,0,0.0,0.0,0.0,0.0009066183136899365,0.0,0.019945602901178604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038077969174977334,0.08340888485947416,Not-obfuscated
75,34.333333333333336,2575,0.0,0.015088746827118242,12.0,0.004660194174757282,0.1821359223300971,0.4625242718446602,0.0,36.25,0.05631067961165048,0,0.0,0.0,0.0,0.0,0.0003883495145631068,0.0007766990291262136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.04155339805825243,0.11728155339805825,Not-obfuscated
42,33.26190476190476,1397,0.0,0.02753718001931155,20.85,0.2984967788117394,0.15604867573371511,0.0,0.0,142.875,0.8181818181818182,0,0.0,0.0,0.0,0.0014316392269148174,0.0,0.013600572655690766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.007874015748031496,0.05511811023622047,Not-obfuscated
38,28.973684210526315,1101,0.0,0.03473817513289804,25.181818181818183,0.25158946412352406,0.11989100817438691,0.0,0.0,190.4,0.8646684831970936,0,0.0,0.0,0.0,0.0,0.0,0.013623978201634877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015440508628519528,0.06902815622161672,Not-obfuscated
133,35.38345864661654,4706,0.0,0.008189046666597399,7.0,0.007437314067148321,0.20229494262643433,0.75945601359966,0.0,69.77777777777777,0.13344666383340417,0,0.0,0.0,0.0,0.0012749681257968552,0.0014874628134296643,0.0025499362515937103,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0.042498937526561836,0.11240968975775606,Not-obfuscated
141,33.184397163120565,4679,0.0,0.008411114794194102,19.75609756097561,0.346227826458645,0.1506732207736696,0.05471254541568711,0.0,199.0,0.808078649284035,0,0.0,0.0,0.0,0.0014960461637101945,0.0021372088053002777,0.020730925411412696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.021158367172472752,0.08057277195982047,Not-obfuscated
1382,39.160636758321274,54120,0.0,0.0006996226277803104,11.56,0.010679970436067996,0.21391352549889137,0.5450480413895048,0.0,95.59821428571429,0.19783813747228382,5,3.695491500369549e-05,0.0,0.0,0.00011086474501108647,0.0004804138950480414,0.005450849963045085,1,0,1,0,0,10,0,0,1,39,0,0,0,15,0,183,2,0,1,0,34,1,0,0,0,0.06417220990391723,0.12032520325203253,Not-obfuscated
580,38.61896551724138,22399,0.0,0.0016866207651754289,7.583333333333333,0.004062681369704005,0.21563462654582793,0.6915487298540114,0.0,67.33333333333333,0.07214607794990847,1.5,8.928970043305504e-05,0.0,0.0,8.928970043305504e-05,8.928970043305504e-05,0.0014732800571454082,0,0,0,0,0,2,0,0,0,6,0,2,0,4,0,13,0,0,0,0,6,0,0,0,0,0.06111879994642618,0.12138934773873834,Not-obfuscated
940,40.61276595744681,38176,0.0,0.0009715165010000057,23.90543259557344,0.3112164710813076,0.24774727577535624,0.002698030176026823,0.0,360.26582278481015,0.7455207460184409,0,0.0,0.0,0.0,0.0026718357082984073,5.238893545683152e-05,0.016816848281642916,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,85,0,0,0,0,0.013621123218776194,0.06009010896898575,Not-obfuscated
1939,31.36565239814337,60818,0.0,0.0006106266226654011,22.547619047619047,0.1868525765398402,0.2289782630142392,0.022427570784964976,0.0,169.8969465648855,0.731905028116676,0,0.0,0.0,0.0,0.0001644250057548752,8.22125028774376e-05,0.022361800782663026,0,10,0,0,0,0,0,0,1,4,0,2,0,72,3,0,0,0,0,0,87,0,0,0,0,0.018382715643395046,0.06427373474958072,Not-obfuscated
34,37.529411764705884,1276,0.0,0.030729714189600497,12.0,0.009404388714733543,0.16222570532915362,0.5470219435736677,0.0,79.0,0.06191222570532915,0,0.0,0.0,0.0,0.0007836990595611285,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.07053291536050156,0.12852664576802508,Not-obfuscated
39,37.0,1443,0.0,0.025761596145992386,19.125,0.3180873180873181,0.2390852390852391,0.08454608454608455,0.0,328.3333333333333,0.6826056826056826,0,0.0,0.0,0.0,0.0,0.0,0.014553014553014554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.018711018711018712,0.07137907137907137,Not-obfuscated
188,38.691489361702125,7274,0.0,0.005380002842430999,23.689655172413794,0.2833379158647237,0.12510310695628266,0.0,0.0,274.04347826086956,0.8665108605993951,0,0.0,0.0,0.0,0.0,0.0,0.020071487489689305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.01567225735496288,0.06158922188616992,Not-obfuscated
717,42.43933054393305,30429,0.0,0.001240235371656325,11.035714285714286,0.01015478655230208,0.23760228729172828,0.44782937329521183,0.0,114.9342105263158,0.28706168457721254,0,0.0,0.0,0.0,0.001445989023628775,0.0007887212856156955,0.006638404153932105,1,0,0,0,0,6,0,0,5,30,0,1,0,22,0,5,1,0,0,0,74,0,0,0,0,0.05632784514772093,0.11137401820631634,Not-obfuscated
3500,31.572,110502,0.0,0.000340945150055998,14.68014484007242,0.22013176232104395,0.21110025157915693,0.047600948399123995,0.0,109.28337874659401,0.7259054134766791,0,0.0,0.0,0.0,0.0006063238674413133,0.00010859531954172775,0.025791388391160342,0,0,0,0,0,3,0,0,2,18,0,1,0,38,0,3,0,0,0,0,112,0,0,0,0,0.021945304157390818,0.07620676548840745,Not-obfuscated
240,45.57083333333333,10937,0.0,0.00349299343426944,9.6,0.008777544116302459,0.23324494834049556,0.44774618268263694,0.0,95.53333333333333,0.13102313248605651,0,0.0,0.0,0.0,0.0001828655024229679,0.0006400292584803877,0.002468684282710067,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0.05897412453140715,0.11282801499497119,Not-obfuscated
420,37.82380952380952,15886,0.0,0.0022942282073429125,26.454976303317537,0.3513785723278358,0.255633891476772,0.0,0.0,479.24,0.7541860757900037,0,0.0,0.0,0.0,0.01258970162407151,0.0,0.018318015863024048,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0.023794536069495154,0.07654538587435478,Not-obfuscated
878,48.11617312072893,42246,0.0,0.0009263300734123126,25.7636684303351,0.34578421625716044,0.17641906926099513,0.05134213890072433,0.0,211.2207792207792,0.7699663873502817,0,0.0,0.0,0.0,0.0005917720020830375,0.000142025280499929,0.012261515883160537,0,0,1,0,0,1,0,0,0,5,1,1,0,12,0,1,0,0,1,0,72,0,0,0,0,0.01962315958907352,0.07051555176821474,Not-obfuscated
296,38.817567567567565,11490,0.0,0.003270117406970752,15.066666666666666,0.019669277632724108,0.23559617058311574,0.8251523063533508,0.0,75.33333333333333,0.07867711053089643,0,0.0,0.0,0.0,0.0,0.0012184508268059183,0.0010443864229765013,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,2,0,0,0,6,0,0,0,0,0.03385552654482158,0.10557006092254134,Not-obfuscated
561,32.31194295900178,18127,0.0,0.0020172533119153227,28.390243902439025,0.25685441606443427,0.23611187731008992,0.004358139791471286,0.0,104.93700787401575,0.7352016329232637,0,0.0,0.0,0.0,0.0002206653058972803,0.0,0.009709273459480333,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,17,0,0,0,0,40,0,0,0,0,0.0156672367187069,0.0670822529927732,Not-obfuscated
663,43.31825037707391,28720,0.0,0.0013063009713077708,32.0,0.020055710306406686,0.24293175487465182,0.4579735376044568,0.0,133.7027027027027,0.1722493036211699,0,0.0,0.0,0.0,0.0018105849582172701,0.0026114206128133705,0.0028899721448467966,0,0,0,0,1,4,0,0,5,16,0,1,0,7,0,0,4,0,0,0,25,1,0,0,0,0.06476323119777158,0.11789693593314764,Not-obfuscated
1612,31.729528535980148,51148,0.0,0.0007529505779149655,19.705882352941178,0.3078321733010088,0.20583405020724174,0.023852350043012435,0.0,183.19811320754718,0.759325877844686,0,0.0,0.0,0.0,0.0014467818878548526,0.0024243372174865096,0.021799483850785954,0,0,0,0,0,0,0,1,0,2,0,3,0,16,0,1,0,0,1,0,43,0,0,0,0,0.020743724094783766,0.07791115977164308,Not-obfuscated
438,40.34703196347032,17672,0.0,0.0021776976891666557,10.0,0.006224535989135355,0.19833635129017654,0.6343368039837031,0.0,66.1,0.037403802625622457,0,0.0,0.0,0.0,0.0,0.001358080579447714,0.0004526935264825713,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0.06620642824807606,0.12454730647351743,Not-obfuscated
229,29.716157205240176,6805,0.0,0.005587779281878611,18.31111111111111,0.24217487141807495,0.183982365907421,0.014842027920646584,0.0,156.3235294117647,0.78104335047759,0,0.0,0.0,0.0,0.00411462160176341,0.0,0.016311535635562088,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0.019103600293901544,0.07832476120499633,Not-obfuscated
51,35.6078431372549,1816,0.0,0.02158290584588224,32.31818181818182,0.3915198237885463,0.11398678414096916,0.018722466960352423,0.0,173.44444444444446,0.8595814977973568,0,0.0,0.0,0.0,0.0,0.0,0.011013215859030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.01486784140969163,0.06883259911894272,Not-obfuscated
178,43.78651685393258,7794,0.0,0.004935374876152881,29.074766355140188,0.399153194765204,0.17051578137028484,0.0365665896843726,0.0,199.90322580645162,0.7950987939440596,0,0.0,0.0,0.0,0.0011547344110854503,0.0,0.01077752117013087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.023351295868616884,0.07261996407492943,Not-obfuscated
